id,sbid,uniq_name,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,mwdet
274,33047,J060044-682603-33047,J060044-682603,SB33047_component_133a,90.185099,-68.434383,278.5417615751515,-29.725104914628165,B,35.72999954223633,39.78300094604492,0.0002012589400071,0.1261610071242915,0.842620685437829,1.1706759535063325,1.3881835444285124,80.0,0.5455628589906835,-32.4404140965481,0.6059372484674317,0.2086456292315572,False,False,4.994999885559082,3.9049999713897705,80.5199966430664,1.423793756592302e+20,False,-0.0001897515964892,False
275,33047,J060511-695016-33047,J060511-695016,SB33047_component_134a,91.295861,-69.837859,280.1480015207337,-29.30990927551296,B,35.42100143432617,39.95100021362305,0.0002397707412899,0.1764215940940755,0.8337446926777689,1.005589390698567,1.4157105619647137,70.0,0.5819658692869448,1.5697878084228287,0.5413434768071809,0.3005522503006658,False,False,4.994999885559082,3.954999923706055,81.2300033569336,2.2660734584447635e+20,False,0.0093146441326563,False
276,33047,J054608-712741-33047,J054608-712741,SB33047_component_135a,86.537272,-71.461416,282.1272908364723,-30.78693575991429,B,33.676998138427734,46.09700012207031,0.0001927716820784,0.1216600035950948,0.8781417528084337,2.2797039731751108,1.2677503091714393,45.0,0.3896085563630057,6.639389846112448,0.9426127455375508,0.3157019693054403,True,True,6.0,3.994999885559082,85.16999816894531,2.44435938676405e+21,False,-0.0042280727542618,True
277,33047,J051027-693207-33047,J051027-693207,SB33047_component_136a,77.615594,-69.535528,280.4945212045093,-34.04949350205887,B,34.53200149536133,38.92399978637695,0.0002438929092554,0.1066067587081299,0.78517531353069,0.9523877778806408,1.4021615595150954,107.0,0.6169862459844053,197.566290975564,0.4829085470846869,0.1603171855333002,False,False,5.019999980926514,3.934999942779541,67.66999816894531,1.1889131779400784e+21,False,0.0028684858630284,False
283,33047,J055734-685341-33047,J055734-685341,SB33047_component_140a,89.393757,-68.894894,279.0808713501196,-30.00146462933013,B,32.12900161743164,35.44499969482422,0.0002284320647648,0.1250360107764011,0.768309836443335,0.8320022065328475,1.4193825933743816,58.0,0.6510727569310466,259.55401718123744,0.4291338812196096,0.1771835643485299,False,False,4.940000057220459,3.9149999618530273,82.05000305175781,1.7270282317891423e+20,False,-0.0080501611819994,False
285,33047,J050559-684737-33047,J050559-684737,SB33047_component_141a,76.496793,-68.793765,279.7396387783293,-34.61512449851531,B,32.59299850463867,42.03300094604492,0.000184470177573,0.1282994745128257,1.1707615680507966,1.413669299948612,1.4850546709425865,123.0,0.3142931028917897,-2.773653248029237,1.1574292797662311,0.3942206436130542,False,False,5.755000114440918,3.930000066757202,81.43000030517578,1.0886082262766238e+21,False,0.0082659737355646,False
286,33047,J060347-692941-33047,J060347-692941,SB33047_component_142a,90.948059,-69.494899,279.75628568254405,-29.43520937326497,B,28.11199951171875,34.974998474121094,0.0002060149943245,0.1005467224619946,0.6196134280382389,0.9665781796116332,1.3150718514331337,113.0,0.6954584233948947,230.2756195159913,0.3631840488520945,0.1350386285597758,False,False,5.255000114440918,4.150000095367432,101.66000366210938,2.159230392714146e+20,False,0.0073086352574742,False
287,33047,J060347-692948-33047,J060347-692948,SB33047_component_142b,90.946889,-69.496885,279.7585724957502,-29.43559100391242,B,18.45499992370605,23.854999542236328,0.0001803188258302,0.1368602672066597,0.8178723905428826,0.965905308218884,1.416028374878278,74.0,0.5981559843353954,-82.42529223462509,0.513903715674996,0.2060607982902881,False,False,5.159999847412109,4.389999866485596,75.06999969482422,2.159230392714146e+20,False,0.0058232524504085,False
288,33047,J054758-710948-33047,J054758-710948,SB33047_component_143a,86.991757,-71.163511,281.7652618055444,-30.67244286525124,B,23.80299949645996,33.40999984741211,0.0001603041858222,0.0919247669745405,0.7550005741582856,1.5754584886906389,1.2931519096400297,98.0,0.5381513354817441,9.670591847976,0.6196154656587349,0.175565814233107,True,False,5.514999866485596,4.460000038146973,102.19000244140624,2.0470951441886048e+21,False,0.0043701039065895,True
290,33047,J055209-703127-33047,J055209-703127,SB33047_component_144a,88.039577,-70.524359,280.99217796437773,-30.38389711510859,B,32.57500076293945,37.75299835205078,0.000191417520621,0.1245952436569071,0.6181692150349227,1.0584386589356929,1.300309757762976,62.0,0.6821405427280531,-92.7074635009034,0.382519567987774,0.1677649279790051,False,False,5.114999771118164,3.9700000286102295,74.27999877929688,1.0321702136011724e+21,False,-0.0008048962801738,False
