comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J052604-660502,38791,81.516927,-66.084036,276.0944765224868,-33.23973544689942,18.125101476924776,0.5097049340918967,7181.43197557722,403.90519373997745,3.0544780130954523,0.1198318618759095
J052559-660518,38791,81.496287,-66.088438,276.1010254546996,-33.2474412228066,18.156173159224497,0.5887271128429465,7206.075196000085,467.32445299629495,3.1660848609597205,0.14148649384083428
J052558-660442,38791,81.49384,-66.07839,276.08927611783866,-33.2497643328859,18.86385720875923,0.536351093948687,7778.774078203123,442.3436776744301,3.0033525445861526,0.119967282137704
J054049-625124,38791,85.204036,-62.856753,272.11867008562047,-31.931880905435875,18.382228624593573,1.0302446574755402,7386.632356461245,827.9777906579501,3.005975319103001,0.2313025443310718
J054048-625136,38791,85.201794,-62.860146,272.12271093916377,-31.9327742037361,17.3085223630045,0.8432299027028226,6548.926928099103,638.0961818199161,3.2304005883851192,0.2308540236454128
J060518-662511,38791,91.326943,-66.419884,276.2287368331316,-29.280625225795585,5.873228872775659,0.8965366391307821,754.0567081892432,230.2104963106987,1.0474702710055785,0.22509756847705806
J060518-662511,38791,91.326943,-66.419884,276.2287368331316,-29.280625225795585,18.488131584964005,1.3116027847589296,7471.988667734348,1060.1699905963337,3.6234323486914546,0.5240375910901484
J052648-645142,38791,81.702112,-64.861902,274.6325544533356,-33.31574334973285,13.304705309249082,0.3943893479371831,3869.551908379901,229.4090727276943,3.5401114181427134,0.14860289249260683
J052627-655607,38791,81.612668,-65.93541,275.91222147866847,-33.22067299039503,18.03340325169069,0.6280327908626585,7108.95141384061,495.1538580076709,2.8812932006192895,0.14231733638052194
J052626-655623,38791,81.609373,-65.939981,275.917847739338,-33.22141171638699,17.609232887798584,1.505135739909672,6778.459912122456,1158.7673739439028,2.8105074751770442,0.16341600870714781
J053009-664810,38791,82.539768,-66.802807,276.881601304062,-32.74191052413017,16.775832603256358,0.4258595076251345,6152.028311379991,312.34214235919615,4.120208419508889,0.13812367674951667
J054301-630909,38791,85.754942,-63.152642,272.4562550134897,-31.67156065048872,18.108378846033517,0.6547689226773594,7168.186583672025,518.3794581334712,3.107144640469318,0.1755020756808541
J052232-641100,38791,80.636141,-64.183466,273.89077725872977,-33.85298406765384,7.763078855499164,0.391805077653845,1317.4014979030228,132.97935156785067,2.0712905463757862,0.3011465915238726
J051537-672127,38791,78.906236,-67.357588,277.8043869702289,-34.05180771754165,20.136358166578372,1.1147528145850676,8863.638035850223,981.3855480905229,3.039209811335124,0.29445968335635864
J051524-655840,38791,78.850492,-65.977974,276.16964641962534,-34.32625560997635,16.000359327497286,0.8640647620810081,5596.411359593382,604.4441566539347,2.850154962131841,0.22195593588590923
J052517-672245,38791,81.321355,-67.379305,277.6396350603079,-33.13245224430629,9.197599396730181,0.637792079934482,1849.2649457273083,256.4683424904653,2.6349069255577504,0.18942880261461856
J050200-693150,38814,75.499646,-69.530812,280.7173049455035,-34.76615012484136,10.963557326901102,2.9668681899249414,2627.5630212289957,1422.0992169356132,3.080824201348715,2.1723797259898183
J050200-693150,38814,75.499646,-69.530812,280.7173049455035,-34.76615012484136,22.31039221763361,8.620085287694499,10880.893715775568,8408.120388147345,2.598917951652866,1.3185026829606354
J050202-693154,38814,75.511085,-69.531802,280.71713879759767,-34.76203153204836,4.994856707684043,3.18196124582134,545.3762545722767,694.8612174481426,1.7669870755631656,2.527944538326871
J050202-693154,38814,75.511085,-69.531802,280.71713879759767,-34.76203153204836,10.385580391290686,11.789982320519172,2357.8257221982003,5353.330778296041,2.8231764990792714,4.2164870089568405
J050202-693154,38814,75.511085,-69.531802,280.71713879759767,-34.76203153204836,18.045544270438704,13.238898525427066,7118.526862837698,10444.844818786269,1.0504565565707729,2.427745771773466
J050200-693158,38814,75.501763,-69.532842,280.719437223284,-34.76488495814618,7.465493075167087,2.4860361260929102,1218.3362086583386,811.4207053588113,2.7182261996260437,1.1155919110759644
